x y z
0.0 -0.0 0.0
0.0 0.0 0.5
-0.0 0.5 -0.0
0.0 0.5 0.5
0.5 -0.0 0.0
0.5 -0.0 0.5
0.5 0.5 0.0
0.250 0.250 0.0
0.250 0.250 0.5
0.250 0.750 -0.0
0.250 0.750 0.5
0.750 0.250 -0.0
0.750 0.250 0.5
0.750 0.750 0.0
0.750 0.750 0.5
0.250 0.0 0.250
0.250 -0.0 0.750
0.250 0.5 0.250
0.250 0.5 0.750
0.750 -0.0 0.250
0.750 -0.0 0.750
0.750 0.5 0.250
0.750 0.5 0.750
0.0 0.250 0.250
0.0 0.250 0.750
-0.0 0.750 0.250
-0.0 0.750 0.750
0.5 0.250 0.250
0.5 0.250 0.750
0.5 0.750 0.250
0.5 0.750 0.750
0.5 0.5 0.5
0.125 0.125 0.375
